Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Bulgaria,BGR,..,..,..,608,..,..,..,..,608,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Burkina Faso,BFA,..,..,..,748,..,..,..,..,748,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Burundi,BDI,..,..,..,1274,..,..,..,..,1274,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Cabo Verde,CPV,..,..,..,228,..,..,..,..,228,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Cambodia,KHM,..,..,..,1904,..,..,..,..,1904,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Cameroon,CMR,..,..,..,1604,..,..,..,..,1604,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Canada,CAN,..,..,..,537,..,..,..,..,537,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Central African Republic,CAF,..,..,..,1343,..,..,..,..,1343,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Chad,TCD,..,..,..,322,..,..,..,..,322,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Chile,CHL,..,..,..,1522,..,..,..,..,1522,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,China,CHN,..,..,..,645,..,..,..,..,645,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Colombia,COL,..,..,..,3240,..,..,..,..,3240,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Comoros,COM,..,..,..,900,..,..,..,..,900,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,"Congo, Dem. Rep.",COD,..,..,..,1543,..,..,..,..,1543,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,"Congo, Rep.",COG,..,..,..,1646,..,..,..,..,1646,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Costa Rica,CRI,..,..,..,2926,..,..,..,..,2926,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Cote d'Ivoire,CIV,..,..,..,1348,..,..,..,..,1348,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Croatia,HRV,..,..,..,1113,..,..,..,..,1113,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Cuba,CUB,..,..,..,1335,..,..,..,..,1335,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Cyprus,CYP,..,..,..,498,..,..,..,..,498,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Czech Republic,CZE,..,..,..,677,..,..,..,..,677,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Denmark,DNK,..,..,..,703,..,..,..,..,703,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Djibouti,DJI,..,..,..,220,..,..,..,..,220,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Dominica,DMA,..,..,..,2083,..,..,..,..,2083,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Dominican Republic,DOM,..,..,..,1410,..,..,..,..,1410,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Ecuador,ECU,..,..,..,2274,..,..,..,..,2274,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,"Egypt, Arab Rep.",EGY,..,..,..,18.1,..,..,..,..,18.1,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,El Salvador,SLV,..,..,..,1784,..,..,..,..,1784,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Equatorial Guinea,GNQ,..,..,..,2156,..,..,..,..,2156,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Eritrea,ERI,..,..,..,384,..,..,..,..,384,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Estonia,EST,..,..,..,626,..,..,..,..,626,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Eswatini,SWZ,..,..,..,788,..,..,..,..,788,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Ethiopia,ETH,..,..,..,848,..,..,..,..,848,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Fiji,FJI,..,..,..,2592,..,..,..,..,2592,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Finland,FIN,..,..,..,536,..,..,..,..,536,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,France,FRA,..,..,..,867,..,..,..,..,867,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Gabon,GAB,..,..,..,1831,..,..,..,..,1831,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,"Gambia, The",GMB,..,..,..,836,..,..,..,..,836,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Georgia,GEO,..,..,..,1026,..,..,..,..,1026,..,..,..
