Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Cereal production (metric tons),AG.PRD.CREL.MT,Comoros,COM,18655,18981,31893,32363,35154,36673,36907,38947,37838,38354,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,"Congo, Dem. Rep.",COD,1490658,1572045,1529338,2643672,2857221,3094544,3115599,3032139,3067140,3121029,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,"Congo, Rep.",COG,6014,9767,25269,26547,28120,29600,28477,28881,29383,29886,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Costa Rica,CRI,286772,284922,297476,231741,238539,234587,203816,213880,159571,163669,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Cote d'Ivoire,CIV,1241131,1285904,1607414,2332512,2712481,2855919,3308600,3159200,3290400,3266110,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Croatia,HRV,..,2310525,2835284,2694564,3195466,3001477,2802791,3573872,2659648,3244847,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Cuba,CUB,539689,826200,920658,1003983,1104303,1017580,791666,930968,786203,812374,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Cyprus,CYP,108500,47950,70195,90747,51923,7362,88127,10161,35836,37225,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Czech Republic,CZE,..,6467637,8289282,6600024,7516944,8783608,8187774,8600552,7460864,6975004,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Denmark,DNK,9606978,9412662,8809200,9485400,9119687,9796378,10047500,9154326,10027261,7005294,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Djibouti,DJI,10,11,15,16,16,16,18,19,18,18,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Dominica,DMA,150,175,140,200,200,197,190,190,191,191,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Dominican Republic,DOM,488250,610146,912362,707550,772950,569596,571746,599671,633445,672937,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Ecuador,ECU,1382675,1885187,2487875,2929621,2736702,3087229,3565291,2677060,2538974,2711410,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,"Egypt, Arab Rep.",EGY,13022243,20105573,22014225,23755745,24123416,23323662,23141549,23388736,22923098,22051537,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,El Salvador,SLV,824923,778822,923938,1090739,1043725,1001957,854471,1072962,1030124,817563,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Eritrea,ERI,..,124549,312366,304057,297926,301577,305853,304510,305471,312655,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Estonia,EST,..,696647,771725,991200,975500,1221600,1535300,934051,1311893,919828,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Eswatini,SWZ,109975,113870,76769,83523,120708,89030,85002,88620,91368,92676,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Ethiopia,ETH,6137530,8019830,18809963,19651152,21575457,23607662,25495127,25384725,25987204,25191722,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Fiji,FJI,28477,14182,8143,4858,7710,7842,7428,9542,10067,8284,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Finland,FIN,4296400,4102900,3671399,3661920,4065779,4130626,3685494,3566470,3421643,2733533,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,France,FRA,55110621,65732235,63954886,68341731,67537681,72579315,72875854,54398704,68730244,62740329,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Gabon,GAB,23664,26900,42405,43408,44202,44648,45101,46139,46987,47835,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,"Gambia, The",GMB,90331,176100,183189,224260,227689,174834,205587,229610,219011,222119,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Georgia,GEO,..,417752,404700,377300,490624,378206,363413,431639,295719,371461,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Germany,DEU,37579589,45271234,41920400,45396500,47757100,52010400,48866800,45364400,45556800,37955800,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Ghana,GHA,843800,1710622,2618992,2890743,2745913,2780040,2753193,2798258,3126792,3573636,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Greece,GRC,4463739,4926527,4868852,4771539,4875338,4263956,4297233,3962384,3682861,3036916,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Grenada,GRD,258,305,351,360,400,431,356,358,362,365,..,..
